Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0485026644092116,-0.000402487484222576,0.19536120921352,0,0,0,8.31433686769284,0.0293073592519148,7.52884256188484E-06,0.000984857342187487,0.0175575109802558,-3.60996498072426E-06,0.0220321087074219,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/base_link.STL,0.192156862745098,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/base_link.STL,,MNT-01-MP-0044-1;MNT-01-AS-0019-1/MNT-01-MP-0053-1;MNT-01-AS-0019-1/MNT-01-MP-0053-2;MNT-01-AS-0019-1/USB Main Splitter-1;MNT-01-AS-0019-1/MNT-01-MP-0175-1;MNT-01-AS-0019-1/MNT-01-MP-0043-1;MNT-01-AS-0019-1/MNT-01-MP-0176-1;MNT-01-AS-0019-1/MNT-01-MP-0176-2;MNT-01-AS-0016-1/MNT-01-MP-0168-1;MNT-01-AS-0047-1/ArduinoMega2560R3-1;MNT-01-AS-0047-1/MNT-01-MP-0173-1;MNT-01-AS-0016-1/MAB CANdle-1;MNT-01-AS-0016-1/MAB CANdle-3;MNT-01-AS-0047-1/MNT-01-MP-0172-2;MirrorPelvis Cable-2;Pelvis Cable-1;MNT-01-AS-0016-1/High sensor-1;MNT-01-AS-0016-1/IMU USB Adapter-1;MNT-01-AS-0016-1/MNT-01-MP-0167-1;MNT-01-AS-0016-1/MNT-01-AS-0048-1/MNT-01-MP-0179-1;MNT-01-AS-0016-1/T-Motor AK70-10 ASSY-1/T-Motor AK70-10-1;MNT-01-AS-0016-1/MNT-01-AS-0048-1/MNT-01-MP-0178-2;MNT-01-AS-0016-1/T-Motor AK70-10 ASSY-4/T-Motor AK70-10-1;MNT-01-AS-0016-1/MNT-01-AS-0048-2/MNT-01-MP-0178-2;MNT-01-AS-0016-1/MNT-01-AS-0048-2/MNT-01-MP-0179-1;MNT-01-AS-0033-1/MNT-01-MP-0087-1;MNT-01-AS-0033-1/MNT-01-MP-0086-1;MNT-01-AS-0033-1/T-Motor AK70-10 ASSY-9/T-Motor AK70-10-1;MNT-01-AS-0033-1/T-Motor AK70-10 ASSY-1/T-Motor AK70-10-1;MNT-01-AS-0033-1/Daft Punk Helmet-1,Base Coordinate System,Axis15,left-foot,revolute,0.059,0,0.032,1.5708,0,1.5708,left-ankle-pitch,0,0,1,9,42,-0.35,0.35,,,0.5,1,,,,
r_shoulder_roll,0.0566308120886568,-6.85646493958636E-05,-0.0367210810041061,0,0,0,0.424092051082922,0.000354369103133343,-2.78428522774671E-07,7.11337816861232E-05,0.0004056684820324,-4.00502924053149E-08,0.000398596891801311,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_shoulder_roll.STL,0.192156862745098,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_shoulder_roll.STL,,MNT-01-AS-0033-1/MNT-01-MP-0034-1;MNT-01-AS-0033-1/MNT-01-MP-0088-1;MNT-01-AS-0033-1/T-Motor AK60-6 ASSY-1/T-Motor AK60-6-1,co_r_shldr_roll,ax_r_shldr_roll,r_shoulder_roll,revolute,-0.10095,-0.058,0.26374,1.5708,-0.1309,-1.5708,base_link,0,0,1,24.8,21,-0.52,0.52,,,,0,,,,
r_shoulder_pitch,-0.0641786023967759,-4.14229978224628E-07,0.00867567909409644,0,0,0,0.450288886696461,0.000327005542986076,5.05300039004387E-09,-4.8319091040392E-06,0.000392326169853443,7.26258247683572E-10,0.000433872077614924,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_shoulder_pitch.STL,0.192156862745098,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_shoulder_pitch.STL,,MNT-01-AS-0033-1/MNT-01-MP-0035-1;MNT-01-AS-0033-1/MNT-01-MP-0089-1;MNT-01-AS-0033-1/MNT-01-MP-0104-1;MNT-01-AS-0033-1/T-Motor AK60-6 ASSY-2/T-Motor AK60-6-1,co_r_shldr_pitch,ax_r_shldr_pitch,r_shoulder_pitch,revolute,0.0945,0,-0.052,1.5708,0,1.5708,r_shoulder_roll,0,0,1,9,42,-1.57,1.57,,,,0,,,,
r_shoulder_yaw,0.0305451060839158,-0.0167160418709857,0.105313123324713,0,0,0,0.455230267187647,0.000639727399994037,1.20292859359689E-05,-8.40150453669808E-05,0.000518738202740722,5.88511092957637E-05,0.000252987791440896,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_shoulder_yaw.STL,0.192156862745098,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_shoulder_yaw.STL,,MNT-01-AS-0033-1/MNT-01-MP-0035-2;MNT-01-AS-0033-1/MNT-01-MP-0105-1;MNT-01-AS-0033-1/MNT-01-MP-0101-1;MNT-01-AS-0033-1/MNT-01-MP-0102-1;MNT-01-AS-0033-1/T-Motor AK60-6 ASSY-3/T-Motor AK60-6-1,co_r_shldr_yaw,ax_r_shldr_yaw,r_shoulder_yaw,revolute,-0.1075,0,0.013,3.1416,-1.5708,0,r_shoulder_pitch,0,0,1,9,42,-1.57,1.57,,,,0,,,,
r_elbow_pitch,0.0634470685009718,1.0163457967588E-07,-0.00393854380736269,0,0,0,0.583928838416558,0.000396497013352743,-1.11574288218647E-09,-1.04455646235616E-05,0.000411076593205853,-1.13814466789318E-09,0.000440879673723086,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_elbow_pitch.STL,0.192156862745098,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_elbow_pitch.STL,,MNT-01-AS-0033-1/MNT-01-MP-0035-3;MNT-01-AS-0033-1/MNT-01-MP-0103-1;MNT-01-AS-0033-1/MNT-01-MP-0106-2;MNT-01-AS-0033-1/T-Motor AK60-6 ASSY-4/T-Motor AK60-6-1;MNT-01-AS-0033-1/MNT-01-MP-0107-1;MNT-01-AS-0033-1/MNT-01-MP-0035-4;MNT-01-AS-0033-1/T-Motor AK60-6 ASSY-4/T-Motor AK60-6 (rotor)-1,co_r_elb_pitch,ax_r_elb_pitch,r_elbow_pitch,revolute,0.0131568727640571,-0.0240000000000006,0.143438163590081,0,-1.48352986419518,0,r_shoulder_yaw,0,0,1,9,42,-0.79,0.79,,,,0,,,,
r_wrist_roll,3.37739889969997E-05,-0.00267859157826145,0.0380664414579688,0,0,0,0.360244300204468,0.000317392760696684,1.20207142166475E-05,-1.38612286413775E-05,0.000278063349273054,1.40876786752906E-05,0.000305562536416222,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_wrist_roll.STL,0.466666666666667,0.72156862745098,1,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_wrist_roll.STL,,Single Act Finger Hand_URDF-1/Hand Base URDF-1,co_r_wrist,ax_r_wrist,r_wrist_roll,revolute,0.17753,0,-0.01,1.5708,0,1.5708,r_elbow_pitch,0,0,1,9,42,-1.57,1.57,,,,0,,,,
r_fing_one_ax_one,0.049466,-0.0084104,-1.2951E-06,0,0,0,0.021281,1.7795E-06,8.2369E-07,4.748E-11,4.8721E-06,-1.8169E-10,4.9726E-06,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_fing_one_ax_one.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_fing_one_ax_one.STL,,Single Act Finger Hand_URDF-1/Single Actuated Finger_URDF-1/Finger 1st Link_URDF-1;Single Act Finger Hand_URDF-1/Single Actuated Finger_URDF-1/Long Finger Tip_URDF-1,r_fing_one_co_one,r_fing_one_ax_one,r_fing_one_ax_one,revolute,0.034509,0.0059622,0.0994,1.3123,-1.5708,0,r_wrist_roll,0,0,-1,2,9.27,0,1.57,,,,,,,,
r_fing_one_ax_two,0.024928,0.0070629,-6.0648E-07,0,0,0,0.012758,9.3181E-07,-8.4725E-07,-1.6674E-10,2.7864E-06,-6.5415E-12,2.9873E-06,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_fing_one_ax_two.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_fing_one_ax_two.STL,,Single Act Finger Hand_URDF-1/Single Actuated Finger_URDF-1/Long Finger Tip_URDF-1,r_fing_one_co_two,r_fing_one_ax_two,r_fing_one_ax_two,revolute,0.045,-0.005,0,-3.1416,0,0,r_fing_one_ax_one,0,0,-1,2,9.27,0,1.57,,,,,,,,
r_fing_two_ax_one,0.054466,0.0034104,1.2925E-06,0,0,0,0.021281,1.7795E-06,-8.2369E-07,-4.6833E-11,4.8721E-06,-1.8171E-10,4.9726E-06,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_fing_two_ax_one.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_fing_two_ax_one.STL,,Single Act Finger Hand_URDF-1/Single Actuated Finger_URDF-2/Long Finger Tip_URDF-1;Single Act Finger Hand_URDF-1/Single Actuated Finger_URDF-2/Finger 1st Link_URDF-1,r_fing_two_co_one,r_fing_two_ax_one,r_fing_two_ax_one,revolute,0.0098444,-0.037601,0.0944,-0.32175,-1.5708,1.2692,r_wrist_roll,0,0,-1,2,9.27,0,1.57,,,,,,,,
r_fing_two_ax_two,0.025871,0.0014186,-6.081E-07,0,0,0,0.012758,6.5829E-07,-3.6842E-07,-1.6355E-10,3.0599E-06,3.0521E-11,2.9873E-06,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_fing_two_ax_two.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2022.12.05 Upperbod single act hand/meshes/r_fing_two_ax_two.STL,,Single Act Finger Hand_URDF-1/Single Actuated Finger_URDF-2/Long Finger Tip_URDF-1,r_fing_two_co_two,r_fing_two_ax_two,r_fing_two_ax_two,fixed,0.05,0,0,0,0,0.22131,r_fing_two_ax_one,0,0,0,2,9.27,0,1.57,,,,,,,,
