Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base-link,-0.0057788,5.2663E-06,0.011365,0,0,0,1.9063,0.0029798,4.216E-07,1.1116E-06,0.0014574,3.0887E-07,0.0034491,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/base-link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/base-link.STL,,MNT-01-AS-0016-1/MNT-01-MP-0017-1;MNT-01-AS-0016-1/MNT-01-MP-0042-1;MNT-01-AS-0016-1/T-Motor AK70-10 ASSY-1/T-Motor AK70-10-1;MNT-01-AS-0016-1/T-Motor AK70-10 ASSY-4/T-Motor AK70-10-1;MNT-01-AS-0016-1/T-Motor AK70-10 ASSY-2/T-Motor AK70-10-1;MNT-01-AS-0016-1/MNT-01-AS-0014-1/MNT-01-MP-0071-1;MNT-01-AS-0016-1/MNT-01-AS-0014-2/MNT-01-MP-0071-1;MNT-01-AS-0016-1/MNT-01-AS-0031-1/MNT-01-MP-0083-1;MNT-01-AS-0016-1/RSX-UM7-1,Base Coordinate System,Axis15,left-foot,revolute,0.059,0,0.032,1.5708,0,1.5708,left-ankle-pitch,0,0,1,9,42,-0.35,0.35,,,0.5,1,,,,
right-hip-yaw,0.075775,-0.0015556,0.061755,0,0,0,0.73474,0.00059359,-1.4488E-06,-6.9065E-05,0.00061392,-2.3111E-07,0.00063587,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-hip-yaw.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-hip-yaw.STL,,MNT-01-AS-0023-1/MNT-01-MP-0016-1;MNT-01-AS-0023-1/MNT-01-MP-0072-1;MNT-01-AS-0023-1/MNT-01-MP-0034-1;MNT-01-AS-0016-1/T-Motor AK70-10 ASSY-4/T-Motor AK70-10 (rotor)-1;MNT-01-AS-0023-1/T-Motor AK70-10 ASSY-1/T-Motor AK70-10-1;MNT-01-AS-0023-1/MNT-01-AS-0013-1/MNT-01-MP-0069-1,Coordinate System4,Axis4,right-hip-yaw,revolute,0,-0.0735,-0.03905,3.1416,0,-3.1416,base-link,0,0,1,24.8,21,-0.2,0.38,,,0,0.15,,,,
right-hip-roll,0.0046523,6.55E-05,0.056072,0,0,0,0.90762,0.0010521,-8.3127E-07,-7.6271E-06,0.0007176,-2.0355E-07,0.0007616,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-hip-roll.STL,1,1,1,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-hip-roll.STL,,MNT-01-AS-0023-1/MNT-01-MP-0068-1;MNT-01-AS-0023-1/MNT-01-MP-0033-1;MNT-01-AS-0030-2/MNT-01-MP-0078-1;MNT-01-AS-0024-1/T-Motor AK80-80 ASSY-1/T-Motor AK80-64-1,Coordinate System5,Axis5,right-hip-roll,revolute,0.06495,0,0.082,1.5708,0,-1.5708,right-hip-yaw,-0.10628,0,0.99434,24.8,21,-0.52,0.2,,,0,0.15,,,,
right-hip-pitch,0.234338521877105,-0.0669943073587908,-0.0409069898265294,0,0,0,1.67976328061919,0.00214886947816486,0.00159923199225886,0.000867025390488555,0.00841700816567985,-0.000216469225927909,0.00969561746354766,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-hip-pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-hip-pitch.STL,,MNT-01-AS-0024-1/MNT-01-MP-0028-1;MNT-01-AS-0024-1/T-Motor AK80-80 ASSY-1/T-Motor AK80-80 (rotor)-1;MNT-01-AS-0024-1/MNT-01-MP-0048-1;MNT-01-AS-0024-1/MNT-01-MP-0038-1;MNT-01-AS-0024-1/MNT-01-MP-0049-1;MNT-01-AS-0024-1/T-Motor AK80-80 ASSY-2/T-Motor AK80-64-1;MNT-01-AS-0024-1/MNT-01-MP-0067-1;MNT-01-AS-0024-1/MNT-01-AS-0025-1/MNT-01-MP-0076-1;MNT-01-AS-0024-1/MNT-01-AS-0026-1/MNT-01-MP-0077-1,Coordinate System6,Axis6,right-hip-pitch,revolute,-0.0297,0,0.06,-1.5708,0,1.5708,right-hip-roll,0,0,1,120,3,-1.22,0.87,,,0,0.15,,,,
right-shin,0.234726338564018,0.0744839478911546,-0.0315140235348624,0,0,0,1.35032160390571,0.00124138634135162,-0.00096404224083178,0.000366687287411376,0.00454437117787048,9.56017814208417E-05,0.00522865833558002,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-shin.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-shin.STL,,MNT-01-AS-0028-1/MNT-01-MP-0051-1;MNT-01-AS-0028-1/MNT-01-MP-0037-2;MNT-01-AS-0028-1/MNT-01-MP-0052-1;MNT-01-AS-0024-1/T-Motor AK80-80 ASSY-2/T-Motor AK80-80 (rotor)-1;MNT-01-AS-0024-1/MNT-01-MP-0028-2;MNT-01-AS-0028-1/MNT-01-MP-0065-1;MNT-01-AS-0028-1/T-Motor AK80-80 ASSY-1/T-Motor AK80-64-1;MNT-01-AS-0028-1/MNT-01-AS-0027-1/MNT-01-MP-0062-1,Coordinate System7,Axis7,right-knee,revolute,0.36627,-0.099341,-0.027,0,0,0,right-hip-pitch,0,0,1,120,3,-0.44,1.46,,,0,0.15,,,,
right-ankle-pitch,0.0540304334424106,-0.000336860754864637,0.0204987280393893,0,0,0,0.439981929661609,0.000241694854232938,-1.96143105171698E-07,-1.19328085138891E-05,0.000285642960601453,-3.49230272142341E-07,0.000299409849584165,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-ankle-pitch.STL,1,1,1,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-ankle-pitch.STL,,MNT-01-AS-0029-1/MNT-01-MP-0063-1;MNT-01-AS-0029-1/MNT-01-MP-0025-1;MNT-01-AS-0028-1/T-Motor AK80-80 ASSY-1/T-Motor AK80-80 (rotor)-1;MNT-01-AS-0029-1/T-Motor AK60-6 ASSY-1/T-Motor AK60-6-1;MNT-01-AS-0029-1/MNT-01-AS-0009-1/MNT-01-MP-0059-1,Coordinate System8,Axis8,right-ankle-pitch,revolute,0.32832,0.099281,-0.011,3.1416,0,-1.5708,right-shin,0,0,-1,120,3,-0.31,0.91,,,0,0.15,,,,
right-foot,0.0462915168533526,1.62926573042677E-06,-0.013683604643072,0,0,0,0.400040854137892,0.000859012502044087,8.85998899404714E-09,1.3689081813412E-05,0.000777608808431975,2.2952326954156E-08,0.000184526967490309,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-foot.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/right-foot.STL,,MNT-01-AS-0029-1/MNT-01-MP-0024-1;MNT-01-AS-0029-1/MNT-01-MP-0041-1;MNT-01-AS-0029-1/MNT-01-MP-0046-1;MNT-01-AS-0029-1/MNT-01-MP-0061-1;MNT-01-AS-0029-1/T-Motor AK60-6 ASSY-1/T-Motor AK60-6 (rotor)-1,Coordinate System9,Axis9,righ-ankle-roll,revolute,0.059,0,0.032,-1.5708,0,-1.5708,right-ankle-pitch,0,0,-1,9,42,-0.35,0.35,,,0,0.15,,,,
left-hipy-aw,0.0757750578945059,0.00168310954366779,0.0617552466991392,0,0,0,0.734739967712697,0.000593589067008299,-3.85918400225421E-07,-6.90652923824776E-05,0.000613915652069172,-2.07378799322751E-06,0.000635866450986916,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/left-hipy-aw.STL,1,1,1,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/left-hipy-aw.STL,,MNT-01-AS-0020-1/MNT-01-MP-0072-1;MNT-01-AS-0020-1/MNT-01-MP-0016-1;MNT-01-AS-0020-1/T-Motor AK70-10 ASSY-1/T-Motor AK70-10-1;MNT-01-AS-0020-1/MNT-01-AS-0013-1/MNT-01-MP-0069-1;MNT-01-AS-0016-1/T-Motor AK70-10 ASSY-1/T-Motor AK70-10 (rotor)-1;MNT-01-AS-0020-1/MNT-01-MP-0034-1,Coordinate System10,Axis10,left-hip-yaw,revolute,0,0.0735,-0.03905,-3.1416,0,-3.1416,base-link,0,0,1,24.8,21,-0.38,0.2,,,0,0.15,,,,
left-hip-roll,0.00465302686270039,-6.55199588081024E-05,0.0560724921154568,0,0,0,0.90764800902247,0.00105214050112313,8.31308978218241E-07,-7.62765371754866E-06,0.000717609604868294,2.04256322233615E-07,0.000761613449513807,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/left-hip-roll.STL,1,1,1,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/left-hip-roll.STL,,MNT-01-AS-0020-1/MNT-01-MP-0068-1;MNT-01-AS-0020-1/MNT-01-MP-0033-1;MNT-01-AS-0012-1/MNT-01-MP-0066-1;MNT-01-AS-0021-1/T-Motor AK80-80 ASSY-1/T-Motor AK80-64-1,Coordinate System11,Axis11,left-hip-roll,revolute,0.06495,0,0.082,-1.5708,0,1.5708,left-hipy-aw,0,0,1,120,3,-0.2,0.52,,,0,0.15,,,,
left-hip-pitch,0.234353500675303,0.0669976157154913,-0.0409101645651041,0,0,0,1.68011204911792,0.0021494182709875,-0.00160079429663144,0.000867961590654297,0.00842336132814782,0.000216711255506008,0.00970222414128708,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/left-hip-pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MNT-01-AS-0005 (2022-04-04 Sasson)/meshes/left-hip-pitch.STL,,MNT-01-AS-0021-1/MNT-01-MP-0028-1;MNT-01-AS-0021-1/MNT-01-MP-0031-1;MNT-01-AS-0021-1/MNT-01-MP-0038-1;MNT-01-AS-0021-1/MNT-01-MP-0029-1;MNT-01-AS-0021-1/MNT-01-MP-0067-1;MNT-01-AS-0021-1/T-Motor AK80-80 ASSY-1/T-Motor AK80-80 (rotor)-1;MNT-01-AS-0021-1/T-Motor AK80-80 ASSY-2/T-Motor AK80-64-1;MNT-01-AS-0021-1/MNT-01-AS-0025-1/MNT-01-MP-0076-1;MNT-01-AS-0021-1/MNT-01-AS-0026-1/MNT-01-MP-0077-1,Coordinate System12,Axis12,left-hip-pitch,revolute,-0.0297,0,0.06,1.5708,0,-1.5708,left-hip-roll,0,0,1,120,3,-0.87,1.22,,,0,0.15,,,,
